geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
AL1  1,1535,633,240,38,8
AL1  2,1240,770,432,128,7
AL1  3,1189,601,237,75,8
AL1  4,2466,862,234,46,3
AL1  5,2137,1272,652,164,22
AL10 0,1431,1595,971,189,15
AL10 8,1543,1553,782,169,24
AL10 9,2181,1549,530,119,11
AL2  1,1850,1214,558,126,15
AL2  2,1325,745,375,54,14
AL2  3,1659,1052,412,55,2
AL3  4,1536,602,164,18,0
AL3  5,2049,871,394,101,9
AL3  6,770,487,286,54,5
AL3  7,1170,652,315,58,4
AL3  8,1039,564,215,52,4
AL4  0,2038,973,355,86,7
AL4  8,1465,799,309,42,2
AL4  9,2600,1413,594,96,8
AL5  1,1486,677,228,18,2
AL5  2,1251,478,94,12,0
AL5  3,1204,345,78,2,1
AL5  4,1527,688,254,44,4
AL5  5,2022,826,278,53,12
AL6  0,1614,711,198,13,0
AL6  9,1037,611,295,42,2
AL7  1,1116,810,448,98,12
AL7  2,1580,1075,532,129,17
AL7  3,1630,1357,799,207,16
AL7  4,1913,1515,752,128,10
AL8  6,1288,847,419,108,7
AL8  7,1576,911,367,86,1
AL9  5,490,303,78,14,1
AL9  6,277,156,89,9,0
AL9  7,1402,912,403,61,2
B1   1,706,1032,312,110,8
B1   2,449,569,328,90,18
B1   3,227,320,52,18,1
B10  0,417,832,846,379,50
B10  9,840,1540,1471,617,59
B11  1,480,1071,1100,544,89
B11  2,250,404,321,124,21
B11  3,1369,1875,1513,565,63
B11  4,592,1031,952,360,29
B12  0,433,674,515,218,38
B12  8,509,795,739,398,38
B12  9,519,753,759,294,37
B13  0,1805,1682,1367,382,44
B13  8,1578,985,595,263,37
B13  9,2549,2065,1214,446,68
B14  4,1828,1587,1351,401,46
B14  5,1367,1493,1407,456,67
B14  6,1983,1566,1065,333,34
B14  7,1588,868,586,161,13
B15  1,357,367,297,122,17
B15  2,1341,1143,561,207,21
B15  3,1196,539,169,29,3
B16  0,1061,1168,876,336,53
B16  8,1071,1532,699,227,38
B16  9,1246,1140,649,222,40
B17  0,1894,1211,734,231,18
B17  8,1536,1103,613,151,15
B17  9,2084,835,413,102,9
B18  4,458,721,633,240,23
B18  5,519,706,536,222,35
B18  6,414,436,126,57,9
B18  7,242,372,339,129,15
B19  1,477,865,836,337,41
B19  2,462,919,833,348,56
B19  3,218,472,439,161,24
B2   4,51,195,77,11,1
B2   5,20,72,17,1,0
B20  1,1000,954,649,131,12
B20  2,1226,1291,896,289,45
B20  3,1088,1647,1309,461,52
B21  0,710,1214,1007,404,43
B21  8,779,1152,923,315,34
B21  9,680,1139,1022,396,36
B23  5,1989,2072,1983,640,64
B23  6,1796,1568,1128,501,62
B23  7,2221,2280,1722,559,63
B24  0,1730,1415,1058,299,29
B24  8,871,1029,773,300,27
B24  9,1461,1458,1115,333,36
B25  8,1639,2100,1630,557,80
B26  1,1684,1460,1060,272,20
B26  2,1494,1455,1267,339,27
B26  3,1606,1532,1066,257,20
B27  6,1445,1289,830,309,28
B27  7,1728,1915,1700,615,54
B28  0,2476,1772,996,190,14
B28  8,935,884,642,165,15
B28  9,1071,969,604,167,17
B29  4,973,921,618,187,22
B29  5,1207,1326,1140,465,44
B29  6,1932,1502,688,160,15
B29  7,1944,1265,498,125,10
B3   1,589,754,131,37,5
B3   2,37,44,6,2,0
B30  1,1859,1399,946,235,24
B30  2,2326,1424,836,236,18
B30  3,1437,956,630,197,22
B31  1,1667,1480,1186,391,41
B31  2,2040,1732,1126,286,29
B31  3,1757,1590,1141,323,46
B31  4,1481,1450,1096,306,30
B31  5,1504,1231,775,248,21
B32  1,1497,1255,825,247,22
