"date","geography","geography code","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"2011","Darlington","E06000005","Total",46670,20184,14922,8954,2407,203
"2011","County Durham","E06000047","Total",223803,87986,68885,51846,14353,733
"2011","Hartlepool","E06000001","Total",40434,14351,12821,9970,3104,188
"2011","Middlesbrough","E06000002","Total",57203,19729,18615,13717,4789,353
"2011","Northumberland","E06000048","Total",138534,60451,44844,26716,6150,373
"2011","Redcar and Cleveland","E06000003","Total",59605,22517,19351,13773,3681,283
"2011","Stockton-on-Tees","E06000004","Total",79159,34306,24692,15755,4114,292
"2011","Gateshead","E08000020","Total",89154,34609,27846,20128,6175,396
"2011","Newcastle upon Tyne","E08000021","Total",117153,47504,36508,24309,8074,758
"2011","North Tyneside","E08000022","Total",91295,39602,28382,18223,4749,339
"2011","South Tyneside","E08000023","Total",67167,24531,21705,15947,4679,305
"2011","Sunderland","E08000024","Total",119758,42790,38223,29259,8920,566
"2011","Blackburn with Darwen","E06000008","Total",57353,20599,18421,13105,4779,449
"2011","Blackpool","E06000009","Total",64367,20308,20700,16465,5985,909
"2011","Cheshire East","E06000049","Total",159441,79623,48842,25289,5287,400
"2011","Cheshire West and Chester","E06000050","Total",141442,66475,43630,24840,6044,453
"2011","Halton","E06000006","Total",53312,20060,16642,12238,4105,267
"2011","Warrington","E06000007","Total",85140,40205,25930,14960,3755,290
"2011","Allerdale","E07000026","Total",42345,17943,13608,8475,2205,114
"2011","Barrow-in-Furness","E07000027","Total",31224,11795,9630,7095,2420,284
"2011","Carlisle","E07000028","Total",48342,20497,15935,9209,2482,219
"2011","Copeland","E07000029","Total",30536,12620,9514,6428,1849,125
"2011","Eden","E07000030","Total",23043,10618,7794,3830,730,71
"2011","South Lakeland","E07000031","Total",46552,22544,15661,6948,1308,91
"2011","Bolton","E08000001","Total",116371,45456,37277,25079,7771,788
"2011","Bury","E08000002","Total",78113,34149,24674,14770,4141,379
"2011","Manchester","E08000003","Total",204969,70540,68763,45745,18104,1817
"2011","Oldham","E08000004","Total",89703,32828,29234,20597,6508,536
"2011","Rochdale","E08000005","Total",87552,31456,27874,20461,7085,676
"2011","Salford","E08000006","Total",103556,37672,33304,23660,8249,671
"2011","Stockport","E08000007","Total",121979,56445,38046,21322,5602,564
"2011","Tameside","E08000008","Total",94953,35619,30373,21616,6759,586
"2011","Trafford","E08000009","Total",94484,45282,28804,15889,4179,330
"2011","Wigan","E08000010","Total",136386,54099,42039,30637,8949,662
"2011","Burnley","E07000117","Total",37550,13608,11758,8822,3059,303
"2011","Chorley","E07000118","Total",44919,21585,13580,7697,1906,151
"2011","Fylde","E07000119","Total",34885,15920,11415,6108,1310,132
"2011","Hyndburn","E07000120","Total",34341,13025,10847,7783,2461,225
"2011","Lancaster","E07000121","Total",57822,25414,18390,10773,2936,309
"2011","Pendle","E07000122","Total",37348,13928,12021,8420,2751,228
"2011","Preston","E07000123","Total",57567,23532,18317,11418,3867,433
"2011","Ribble Valley","E07000124","Total",24045,12813,7226,3338,615,53
"2011","Rossendale","E07000125","Total",29058,12641,8871,5727,1676,143
"2011","South Ribble","E07000126","Total",46102,22397,14361,7638,1578,128
"2011","West Lancashire","E07000127","Total",45381,19575,14774,8900,1995,137
"2011","Wyre","E07000128","Total",47281,19007,15769,10204,2121,180
"2011","Knowsley","E08000011","Total",61323,19164,18553,16600,6501,505
"2011","Liverpool","E08000012","Total",206515,67965,64560,51305,20598,2087
"2011","Sefton","E08000014","Total",117930,45823,38478,25880,7126,623
"2011","St. Helens","E08000013","Total",75736,28985,23460,17738,5198,355
"2011","Wirral","E08000015","Total",140583,56553,44618,29693,8957,762
"2011","East Riding of Yorkshire","E06000011","Total",143032,66055,46722,25187,4665,403
"2011","Kingston upon Hull, City of","E06000010","Total",112596,37719,37207,27899,9024,747
"2011","North East Lincolnshire","E06000012","Total",69707,26569,23201,15505,4132,300
"2011","North Lincolnshire","E06000013","Total",70684,29434,23407,14508,3116,219
"2011","York","E06000014","Total",83552,41409,26882,12526,2524,211
"2011","Craven","E07000163","Total",24583,12074,7892,3790,774,53
