ONS Code,Laname,Applicant homeless in emergency,"Households with dependent children, with 1 child","Households with dependent children, with 2 children","Households with dependent children, with 3 children",Total housholds children,Households with pregnant member & no other dependent children,Aged 16/17 years old,In care and aged 18 to 20,Old age,Physical disability,Mental illness or handicap,Drug dependency,Alcohol dependency,Former asylum seeker,Other,Been in care,Served in HM forces,Been in custody/on remand,Violence / threat of violence,Domestic violence,Total households
E07000223,Adur,0,0,.,0,.,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,-
E07000026,Allerdale,0,0,.,0,.,0,0,0,0,.,.,0,0,0,0,0,0,0,.,.,8
E07000032,Amber Valley,0,13,8,6,27,.,0,0,0,0,.,0,0,0,0,0,0,.,.,0,32
E07000224,Arun,0,13,17,7,37,.,0,.,.,7,.,0,0,0,.,0,0,0,.,.,56
E07000170,Ashfield,0,.,.,.,8,0,0,0,0,.,.,0,0,0,0,0,0,0,.,.,17
E07000105,Ashford,0,11,5,9,25,.,.,.,0,0,.,0,.,0,0,0,0,0,0,0,35
E07000004,Aylesbury Vale,0,13,.,6,23,.,0,0,.,0,7,0,0,0,0,0,0,0,.,.,35
E07000200,Babergh,0,6,.,.,9,.,0,.,0,.,6,0,0,0,0,0,0,0,0,0,22
E09000002,Barking and Dagenham,.,55,44,39,138,11,.,0,.,13,17,0,0,.,.,0,0,0,.,0,191
E09000003,Barnet,0,50,42,39,131,17,6,9,.,5,13,0,0,.,11,0,0,..,..,.,199
E08000016,Barnsley,0,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
E07000027,Barrow-in-Furness,0,0,0,0,0,.,0,0,0,.,.,0,0,0,0,0,0,0,0,0,-
E07000066,Basildon,0,22,14,8,44,14,.,.,.,7,8,0,0,0,.,0,0,0,.,.,85
E07000084,Basingstoke and Deane,.,6,.,.,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
E07000171,Bassetlaw,0,6,.,.,13,.,0,0,0,.,0,0,0,0,.,0,0,0,0,0,22
E06000022,Bath and North East Somerset,.,.,.,.,8,.,0,0,0,.,.,0,0,0,0,0,0,0,.,0,17
E06000055,Bedford_UA,0,20,10,.,33,.,0,.,0,.,7,0,0,0,0,0,.,0,0,0,45
E09000004,Bexley,0,57,32,15,104,7,0,.,5,7,.,0,0,0,.,0,0,.,0,0,136
E08000025,Birmingham,0,258,213,179,650,53,5,9,13,35,53,0,0,0,0,0,0,0,28,17,846
E07000129,Blaby,0,.,0,.,.,0,0,0,.,0,.,0,0,0,0,0,0,0,0,0,5
E06000008,Blackburn with Darwen,0,.,.,.,6,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,7
