Local Authority,Code,Age 0-4,Age 5-10,Age 11-15,Age 16-18,Number of Households
Aberdeen City,S12000033,"1,730","1,460","1,070",360,"2,730"
Aberdeenshire,S12000034,"1,330","1,240","1,050",400,"2,300"
Adur,E07000223,680,630,460,210,"1,100"
Allerdale,E07000026,"1,020",900,720,350,"1,690"
Amber Valley,E07000032,"1,320","1,280",970,440,"2,140"
Angus,S12000041,950,940,730,330,"1,660"
Argyll and Bute,S12000035,660,590,460,230,"1,120"
Arun,E07000224,"1,420","1,230",920,420,"2,180"
Ashfield,E07000170,"2,060","1,920","1,340",560,"3,120"
Ashford,E07000105,"1,540","1,420","1,020",420,"2,260"
Aylesbury Vale,E07000004,"1,380","1,220",770,320,"1,970"
Babergh,E07000200,620,670,440,220,"1,030"
Barking and Dagenham,E09000002,"5,570","5,340","3,340","1,520","7,930"
Barnet,E09000003,"3,810","3,810","2,780","1,370","6,370"
Barnsley,E08000016,"4,260","3,870","2,720","1,340","6,680"
Barrow-in-Furness,E07000027,"1,020",950,790,400,"1,770"
Basildon,E07000066,"3,040","2,940","2,030",860,"4,590"
Basingstoke and Deane,E07000084,"1,520","1,300",950,430,"2,200"
Bassetlaw,E07000171,"1,350","1,320",890,410,"2,150"
Bath and North East Somerset UA,E06000022,"1,260","1,130",870,390,"2,040"
Bedford UA,E06000055,"2,050","1,960","1,450",630,"3,210"
Bexley,E09000004,"3,420","3,010","2,050",930,"5,020"
Birmingham,E08000025,"24,800","25,810","18,500","8,750","37,250"
Blaby,E07000129,580,550,390,180,930
Blackburn with Darwen UA,E06000008,"2,790","2,740","2,040","1,090","4,330"
Blackpool UA,E06000009,"2,960","2,890","2,070","1,040","4,740"
Blaenau Gwent / Blaenau Gwent,W06000019,"1,470","1,390","1,080",560,"2,550"
Bolsover,E07000033,"1,150","1,130",860,390,"1,900"
Bolton,E08000001,"4,910","4,590","3,460","1,790","7,710"
Boston,E07000136,790,780,510,230,"1,210"
Bournemouth UA,E06000028,"2,100","1,720","1,250",600,"3,280"
Bracknell Forest UA,E06000036,960,890,570,240,"1,440"
Bradford,E08000032,"10,530","10,760","7,740","3,490","15,550"
Braintree,E07000067,"1,510","1,500","1,070",500,"2,470"
Breckland,E07000143,"1,310","1,160",890,420,"1,990"
Brent,E09000005,"4,710","4,890","3,550","1,890","7,650"
Brentwood,E07000068,450,430,330,150,790
Bridgend / Pen-y-bont ar Ogwr,W06000013,"2,400","2,160","1,720",830,"3,950"
Brighton and Hove UA,E06000043,"2,610","2,590","1,940",900,"4,660"
"Bristol, City of UA",E06000023,"7,390","6,610","4,320","2,070","10,380"
Broadland,E07000144,670,680,560,260,"1,230"
Bromley,E09000006,"3,300","3,190","2,070","1,010","5,300"
Bromsgrove,E07000234,620,530,360,170,930
Broxbourne,E07000095,"1,310","1,260",820,330,"2,010"
Broxtowe,E07000172,"1,080",990,700,350,"1,720"
Burnley,E07000117,"1,690","1,550","1,090",540,"2,620"
Bury,E08000002,"2,520","2,300","1,680",790,"3,930"
Caerphilly / Caerffili,W06000018,"2,990","3,110","2,440","1,290","5,390"
Calderdale,E08000033,"3,210","3,020","1,970",940,"4,760"
Cambridge,E07000008,900,870,520,220,"1,340"
Camden,E09000007,"2,880","3,250","2,520","1,250","5,000"
Cannock Chase,E07000192,"1,320","1,180",820,410,"2,030"
Canterbury,E07000106,"1,440","1,350",990,490,"2,240"
Cardiff / Caerdydd,W06000015,"5,950","5,670","4,020","1,820","8,840"
Carlisle,E07000028,"1,210","1,090",730,350,"1,920"
Carmarthenshire / Sir Gaerfyrddin,W06000010,"2,130","2,210","1,710",880,"3,770"
Castle Point,E07000069,940,860,600,290,"1,500"
Central Bedfordshire UA,E06000056,"2,580","2,280","1,450",680,"3,680"
Ceredigion / Ceredigion,W06000008,510,460,450,200,900
Charnwood,E07000130,"1,530","1,370",910,420,"2,250"
Chelmsford,E07000070,"1,440","1,330",950,430,"2,270"
Cheltenham,E07000078,"1,120",990,680,280,"1,600"
Cherwell,E07000177,"1,190","1,070",720,310,"1,770"
Cheshire East UA,E06000049,"2,930","2,620","1,870",920,"4,540"
Cheshire West and Chester UA,E06000050,"3,550","3,260","2,340","1,110","5,610"
Chesterfield,E07000034,"1,580","1,330",970,440,"2,350"
Chichester,E07000225,780,660,490,250,"1,200"
Chiltern,E07000005,440,390,290,140,690
Chorley,E07000118,"1,010",990,670,320,"1,650"
Christchurch,E07000048,340,330,230,120,590
City of London,E09000001,20,30,20,10,40
Clackmannanshire,S12000005,810,750,590,250,"1,350"
Colchester,E07000071,"2,070","1,790","1,230",540,"3,010"
Conwy / Conwy,W06000003,"1,400","1,290","1,000",470,"2,240"
Copeland,E07000029,800,710,570,270,"1,310"
Corby,E07000150,"1,170",970,720,320,"1,720"
Cornwall UA,E06000052,"5,430","5,120","4,030","1,950","9,140"
Cotswold,E07000079,410,380,300,130,670
County Durham UA,E06000047,"7,930","7,330","5,410","2,670","12,910"
Coventry,E08000026,"5,830","5,520","3,680","1,630","8,510"
Craven,E07000163,260,270,210,110,480
Crawley,E07000226,"1,500","1,360",900,400,"2,180"
Croydon,E09000008,"6,090","5,680","3,970","1,860","9,350"
Dacorum,E07000096,"1,440","1,320",980,410,"2,160"
Darlington UA,E06000005,"1,660","1,480",980,430,"2,410"
Dartford,E07000107,"1,290","1,090",660,350,"1,860"
Daventry,E07000151,660,620,430,200,"1,010"
Denbighshire / Sir Ddinbych,W06000004,"1,440","1,310","1,000",480,"2,230"
Derby UA,E06000015,"4,580","4,290","2,990","1,240","6,450"
Derbyshire Dales,E07000035,320,350,310,120,600
Doncaster,E08000017,"5,350","4,870","3,360","1,510","8,040"
Dover,E07000108,"1,570","1,370","1,010",460,"2,330"
Dudley,E08000027,"4,700","4,540","3,290","1,510","7,310"
Dumfries and Galloway,S12000006,"1,450","1,420","1,000",430,"2,450"
Dundee City,S12000042,"2,230","2,250","1,600",710,"3,950"
Ealing,E09000009,"4,710","4,930","3,630","1,860","7,770"
East Ayrshire,S12000008,"1,790","1,670","1,230",540,"3,130"
East Cambridgeshire,E07000009,600,580,370,140,890
East Devon,E07000040,740,670,560,290,"1,250"
East Dorset,E07000049,420,410,320,160,720
East Dunbartonshire,S12000009,610,580,500,220,"1,150"
East Hampshire,E07000085,580,600,430,190,990
East Hertfordshire,E07000097,790,790,520,250,"1,330"
East Lindsey,E07000137,"1,720","1,550","1,240",620,"2,730"
East Lothian,S12000010,990,960,700,270,"1,670"
East Northamptonshire,E07000152,820,770,580,250,"1,300"
East Renfrewshire,S12000011,530,590,500,220,"1,090"
East Riding of Yorkshire UA,E06000011,"2,470","2,360","1,800",940,"4,210"
East Staffordshire,E07000193,"1,310","1,110",810,400,"1,900"
Eastbourne,E07000061,"1,210","1,070",840,380,"1,920"
Eastleigh,E07000086,910,780,550,250,"1,350"
Eden,E07000030,230,220,190,80,410
"Edinburgh, City of",S12000036,"4,140","4,090","3,030","1,080","7,180"
Eilean Siar,S12000013,150,130,120,60,290
Elmbridge,E07000207,740,650,470,190,"1,150"
Enfield,E09000010,"6,840","6,640","4,340","2,150","10,460"
Epping Forest,E07000072,"1,150","1,070",820,400,"1,940"
Epsom and Ewell,E07000208,400,380,280,110,650
Erewash,E07000036,"1,430","1,320",900,420,"2,230"
Exeter,E07000041,"1,140",940,650,310,"1,670"
Falkirk,S12000014,"1,910","1,890","1,410",520,"3,260"
Fareham,E07000087,590,510,420,190,970
Fenland,E07000010,"1,370","1,330",960,430,"2,180"
Fife,S12000015,"4,860","4,520","3,290","1,330","7,870"
Flintshire / Sir y Fflint,W06000005,"1,770","1,670","1,250",590,"2,830"
Forest Heath,E07000201,540,430,300,120,770
Forest of Dean,E07000080,740,660,530,250,"1,200"
Fylde,E07000119,480,440,380,180,850
Gateshead,E08000020,"2,890","2,680","2,030","1,010","4,860"
Gedling,E07000173,"1,270","1,210",770,350,"1,960"
Glasgow City,S12000043,"9,890","10,420","8,560","3,630","19,070"
Gloucester,E07000081,"1,920","1,810","1,210",490,"2,750"
Gosport,E07000088,"1,110",960,620,280,"1,580"
Gravesham,E07000109,"1,600","1,330","1,020",440,"2,280"
Great Yarmouth,E07000145,"1,690","1,580","1,140",530,"2,650"
Greenwich,E09000011,"4,940","4,720","3,270","1,520","7,550"
Guildford,E07000209,840,830,550,240,"1,320"
Gwynedd / Gwynedd,W06000002,"1,200","1,100",810,390,"1,870"
Hackney,E09000012,"4,910","5,150","3,880","1,940","8,300"
Halton UA,E06000006,"2,410","2,240","1,710",850,"3,830"
Hambleton,E07000164,540,460,320,160,820
Hammersmith and Fulham,E09000013,"2,260","2,480","1,830",900,"3,960"
Harborough,E07000131,390,390,270,120,660
Haringey,E09000014,"4,220","4,420","3,530","1,840","7,420"
Harlow,E07000073,"1,480","1,320",870,400,"2,180"
Harrogate,E07000165,780,660,530,240,"1,270"
Harrow,E09000015,"2,240","2,320","1,830","1,040","3,750"
Hart,E07000089,380,330,230,80,570
Hartlepool UA,E06000001,"2,060","1,950","1,340",680,"3,170"
Hastings,E07000062,"1,750","1,580","1,150",540,"2,720"
Havant,E07000090,"1,650","1,540","1,110",510,"2,490"
Havering,E09000016,"3,250","2,960","1,980",950,"4,920"
"Herefordshire, County of UA",E06000019,"1,490","1,370","1,040",470,"2,380"
Hertfordshire,,,,,,
Hertsmere,E07000098,830,870,620,290,"1,460"
High Peak,E07000037,850,740,580,250,"1,310"
Highland,S12000017,"1,920","1,920","1,430",530,"3,200"
Hillingdon,E09000017,"4,000","3,810","2,620","1,190","5,980"
Hinckley and Bosworth,E07000132,870,790,550,260,"1,320"
Horsham,E07000227,750,620,460,200,"1,110"
Hounslow,E09000018,"3,640","3,560","2,670","1,300","5,680"
Huntingdonshire,E07000011,"1,360","1,260",900,460,"2,170"
Hyndburn,E07000120,"1,400","1,280",930,460,"2,120"
Inverclyde,S12000018,"1,130","1,200",910,460,"2,250"
Ipswich,E07000202,"2,180","1,910","1,330",600,"3,170"
Isle of Anglesey / Ynys Môn,W06000001,960,880,630,310,"1,470"
Isle of Wight UA,E06000046,"1,470","1,510","1,110",580,"2,610"
Isles of Scilly,E06000053,-,-,-,-,-
Islington,E09000019,"3,890","3,780","2,890","1,440","6,450"
Kensington and Chelsea,E09000020,"1,180","1,300","1,060",530,"2,310"
Kettering,E07000153,"1,300","1,060",760,320,"1,800"
King’s Lynn and West Norfolk,E07000146,"1,700","1,550","1,160",560,"2,660"
"Kingston upon Hull, City of UA",E06000010,"6,310","5,690","3,790","1,900","9,510"
Kingston upon Thames,E09000021,"1,250","1,140",830,370,"1,990"
Kirklees,E08000034,"6,020","5,750","4,050","1,970","9,380"
Knowsley,E08000011,"3,350","3,380","2,600","1,240","5,820"
Lambeth,E09000022,"5,170","5,390","3,760","1,700","8,550"
Lancaster,E07000121,"1,590","1,460","1,080",520,"2,440"
Leeds,E08000035,"11,950","10,560","7,090","3,300","17,300"
Leicester UA,E06000016,"6,610","6,440","4,710","2,230","9,840"
Lewes,E07000063,900,810,510,260,"1,390"
Lewisham,E09000023,"5,470","5,280","3,620","1,630","8,680"
Lichfield,E07000194,790,730,540,270,"1,260"
Lincoln,E07000138,"1,570","1,390",940,420,"2,290"
Liverpool,E08000012,"9,300","9,060","7,170","3,660","16,340"
